procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 8322828  13036 3801340    0    0     0    24  892 2037  5  2 93  0  0
 0  0      0 8321832  13036 3801316    0    0     0   218  617 1173  3  1 96  0  0
 2  0      0 8321580  13036 3801316    0    0     0     0  563 1022  2  1 97  0  0
 0  0      0 8321328  13036 3801320    0    0     0     2  574 1051  2  1 97  0  0
 0  0      0 8321076  13036 3801320    0    0     0     0  552 1012  2  1 97  0  0
 0  0      0 8320824  13036 3801332    0    0     0     1  590 1086  2  1 97  0  0
 0  0      0 8320096  13036 3800224    0    0     0   161  611 1180  2  1 96  0  0
 1  0      0 8318084  13036 3801360    0    0     0   212  607 1116  3  1 96  0  0
 0  0      0 8317832  13036 3801376    0    0     0    43  630 1103  3  1 96  0  0
 0  0      0 8317328  13036 3801376    0    0     0     0  698 1499  3  1 96  0  0
 0  0      0 8304476  13036 3812836    0    0     0     2  698 1417  3  1 96  0  0
 0  0      0 8313168  13036 3797320    0    0     0    14  719 1487  3  1 96  0  0
 0  0      0 8304852  13036 3805096    0    0     0    64  716 1524  3  1 96  0  0
 0  0      0 8321584  13036 3797280    0    0     0     1  600 1184  3  1 97  0  0
 0  0      0 8325800  13036 3802728    0    0     0   186  662 1404  3  1 96  0  0
 0  0      0 8339312  13036 3797240    0    0     0     0  669 1369  3  1 96  0  0
 1  0      0 8330276  13036 3806436    0    0     0     2  599 1119  2  1 97  0  0
 0  0      0 8336252  13036 3797324    0    0     0     6  677 1367  3  1 95  0  0
 0  0      0 8335496  13036 3797284    0    0     0    28  621 1197  2  1 97  0  0
 0  0      0 8334740  13036 3797124    0    0     0     0  695 1316  3  1 96  0  0
 0  0      0 8348476  13036 3795588    0    0     0     1  703 1502  3  1 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 8345704  13036 3797124    0    0     0   154  621 1212  3  1 96  0  0
 0  0      0 8340668  13036 3797252    0    0     0     8  657 1281  3  1 96  0  0
 0  0      0 8329608  13036 3804816    0    0     0     0  786 1765  4  1 95  0  0
 2  0      0 8322052  13036 3816720    0    0     0     6  907 2137  5  2 93  0  0
 1  0      0 8341696  13036 3797128    0    0     0     0  658 1392  3  1 96  0  0
 0  0      0 8329604  13036 3795592    0    0     0     1  675 1395  3  1 96  0  0
 0  0      0 8328348  13036 3797172    0    0     0     7  695 1388  4  1 95  0  0
 0  0      0 8326584  13036 3797132    0    0     0   217  609 1108  2  1 97  0  0
 1  0      0 8325828  13036 3797092    0    0     0     0  616 1154  2  1 97  0  0
 1  0      0 8322552  13036 3797136    0    0     0     9  757 1268  2  1 97  0  0
 0  0      0 8321544  13036 3797136    0    0     0    35  594 1141  2  1 97  0  0
 0  0      0 8333852  13036 3796076    0    0     0    48  723 1466  3  1 96  0  0
